bin,mean,std,count,sem,ci_lower,ci_upper
7740.0,18.0,4.242640687119285,2,3.0,12.120000000000001,23.88
7750.0,14.5,4.949747468305833,2,3.5,7.640000000000001,21.36
7760.0,12.5,2.1213203435596424,2,1.5,9.56,15.44
7770.0,20.5,3.5355339059327378,2,2.5,15.6,25.4
7780.0,16.5,4.949747468305833,2,3.5,9.64,23.36
7790.0,10.0,0.0,2,0.0,10.0,10.0
7800.0,23.0,8.48528137423857,2,6.0,11.24,34.76
7810.0,8.0,1.4142135623730951,2,1.0,6.04,9.96
7820.0,9.0,0.0,2,0.0,9.0,9.0
7830.0,18.0,4.242640687119285,2,3.0,12.120000000000001,23.88
7840.0,21.5,4.949747468305833,2,3.5,14.64,28.36
7850.0,20.5,4.949747468305833,2,3.5,13.64,27.36
7860.0,17.0,12.727922061357855,2,9.0,0.0,34.64
7870.0,24.0,1.4142135623730951,2,1.0,22.04,25.96
7880.0,22.0,5.656854249492381,2,4.0,14.16,29.84
7890.0,14.0,1.4142135623730951,2,1.0,12.04,15.96
7900.0,6.0,4.242640687119285,2,3.0,0.1200000000000001,11.879999999999999
7910.0,17.5,3.5355339059327378,2,2.5,12.6,22.4
7920.0,12.0,2.8284271247461903,2,2.0,8.08,15.92
7930.0,14.0,8.48528137423857,2,6.0,2.24,25.759999999999998
7940.0,26.5,4.949747468305833,2,3.5,19.64,33.36
7950.0,9.0,0.0,2,0.0,9.0,9.0
7960.0,9.5,2.1213203435596424,2,1.5,6.5600000000000005,12.44
7970.0,18.5,3.5355339059327378,2,2.5,13.6,23.4
7980.0,19.5,0.7071067811865476,2,0.5,18.52,20.48
7990.0,6.5,3.5355339059327378,2,2.5,1.5999999999999996,11.4
8000.0,14.5,3.5355339059327378,2,2.5,9.6,19.4
8010.0,23.0,1.4142135623730951,2,1.0,21.04,24.96
8020.0,12.0,5.656854249492381,2,4.0,4.16,19.84
8030.0,10.5,2.1213203435596424,2,1.5,7.5600000000000005,13.44
8040.0,15.0,4.242640687119285,2,3.0,9.120000000000001,20.88
8050.0,15.0,7.0710678118654755,2,5.0,5.199999999999999,24.8
8060.0,7.0,4.242640687119285,2,3.0,1.12,12.879999999999999
8070.0,13.5,3.5355339059327378,2,2.5,8.6,18.4
8080.0,8.0,1.4142135623730951,2,1.0,6.04,9.96
8090.0,12.5,3.5355339059327378,2,2.5,7.6,17.4
8100.0,19.0,1.4142135623730951,2,1.0,17.04,20.96
8110.0,7.0,1.4142135623730951,2,1.0,5.04,8.96
8120.0,10.5,4.949747468305833,2,3.5,3.6400000000000006,17.36
8130.0,43.0,14.142135623730951,2,10.0,23.4,62.6
8140.0,16.0,4.242640687119285,2,3.0,10.120000000000001,21.88
8150.0,31.0,18.384776310850235,2,13.0,5.52,56.480000000000004
8160.0,24.5,20.506096654409877,2,14.5,0.0,52.92
8170.0,13.0,2.8284271247461903,2,2.0,9.08,16.92
8180.0,149.5,136.47160876900367,2,96.5,0.0,338.64
